Country Name,Country Code,Year,EC,CO2,TINN,OPP,GDP1,FinD
Brazil,BRA,2004,45.2,1.7784412442861517,19.0737,29.678252478753542,5.75996463670954,2.1
Brazil,BRA,2005,46.1,1.7756629224697607,21.0227,27.08679520557937,3.2021320613043116,3.14
Brazil,BRA,2006,46.7,1.777477956572575,28.1784,26.04169988530512,3.9619887112261694,2.88
Brazil,BRA,2007,47.2,1.8479757356259952,30.88,25.292611373679836,6.0698706067833825,1.86
Brazil,BRA,2008,47,1.93921527398251,33.83,27.257569416479537,5.094195446587364,1.6
Brazil,BRA,2009,48.9,1.7993281418531548,39.22,22.105975604706778,-0.12581200216116883,1.53
Brazil,BRA,2010,46.8,2.026605668922863,40.65,22.772178112004923,7.5282258181536434,1.01
Brazil,BRA,2011,45.2,2.1106277598729295,45.69,23.93440517532519,3.9744230794470212,0.71
Brazil,BRA,2012,43.5,2.2714176835720994,48.56,25.11427360865339,1.9211759857653732,0.55
Brazil,BRA,2013,42.3,2.4134465369818026,51.04,25.785957325532827,3.004822669444323,0.5
Brazil,BRA,2014,41.7,2.5145919596342567,54.551,24.685405813129123,0.5039557402422474,0.4
Brazil,BRA,2015,43.7,2.365360620996709,58.328,26.953625936011406,-3.545763392694255,0.46
Brazil,BRA,2016,45.4,2.1612598474893923,60.8725,24.53368208043988,-3.275916907821923,0.4
Brazil,BRA,2017,45.3,2.1854866186396715,67.4713,24.319734374674947,1.3228690540439914,0.36
Brazil,BRA,2018,46.9,2.064261478817718,70.4343,28.876203375974296,1.7836667616339952,0.36
Brazil,BRA,2019,47.5,2.0507701288297726,73.9124,28.890257867941436,1.2207778236084152,0.35
Brazil,BRA,2020,50,1.942523356314845,81.3427,32.30207854634089,-3.276758796473601,0.32
Brazil,BRA,2021,46.5,,80.6899,37.65633075688333,4.762604379086085,0.26
Brazil,BRA,2022,,,80.5278,38.816065976339715,3.0166943539301485,0.27
Brazil,BRA,2023,,,84.1506,33.853946593854694,2.9084804866777745,
China,CHN,2004,20.2,3.945154871438767,7.3,59.50553141376154,10.11362137762633,29.96
China,CHN,2005,17.4,4.467696361181848,8.52326,62.20802192336096,11.39459180989266,30.72
China,CHN,2006,16.4,4.9102761971594635,10.5232,64.47919120013978,12.720955665403181,30.72
China,CHN,2007,14.9,5.3063680063131455,16,62.19362508535685,14.230860933195544,29.34
China,CHN,2008,14.1,5.435079096066524,22.6,57.612342241476746,9.650678919393613,27.71
China,CHN,2009,13.4,5.798319937502817,28.9,45.18497620719122,9.398725632596737,29.65
China,CHN,2010,12.3,6.3354197674375134,34.3,50.71707766274901,10.635871064491312,29.12
China,CHN,2011,11.3,6.90134732553428,38.3,50.74090458640058,9.550832178775678,26.76
China,CHN,2012,11.5,7.045200230396029,42.3001,48.26752236738123,7.863736448621111,27.06
China,CHN,2013,11.5,7.3201549250315425,45.8,46.744375577311786,7.76615009773009,27.42
China,CHN,2014,11.9,7.304712871575817,47.9,44.905215954336256,7.425763656324122,25.94
China,CHN,2015,12.2,7.1451315350832685,50.3,39.46416933526189,7.041328878736564,26.56
China,CHN,2016,12.6,7.105479935725145,53.2,36.89441501700643,6.848762204957609,26.5
China,CHN,2017,13.1,7.226160154417479,54.3,37.63241324049504,6.947200793316853,27.07
China,CHN,2018,13.5,7.533193133536742,59.2,37.56578410207928,6.7497738324959045,27.37
China,CHN,2019,14.3,7.645435785600376,64.0809,35.89009603426131,5.950500753674135,26.48
China,CHN,2020,14.9,7.756137906597689,70.0528,34.75429569954918,2.238638356346385,27.1
China,CHN,2021,15.2,,73.0532,37.3019908656257,8.448469416872769,25.5
China,CHN,2022,,,75.6113,38.351480575294254,2.9890840861347385,22.64
China,CHN,2023,,,77.4827,37.31677357309846,5.199999999871736,
India,IND,2004,44.9,0.9554701574289937,1.97614,37.50381405944698,7.922936611999319,1.43
India,IND,2005,44.2,0.9842614726187514,2.38807,42.00166961486911,7.923430621483178,1.11
India,IND,2006,43.2,1.0365339215516476,2.8055,45.724480499265226,8.060732571666506,1.11
India,IND,2007,41.5,1.1235994817209,3.95,45.686268679347975,7.660815067010702,1.07
India,IND,2008,39.4,1.1803612466615137,4.38,53.368220439222625,3.086698059219813,0.97
