Country,Year,CO2_emissions,Energy_Efficiency,Financial_Expansion,GDP_constant_USD,RDE
Brazil,1990,191.20087076658513,8.450714306409916,42.31993941811405,493727005942.3681,1.357182816813777
Brazil,1991,193.08172230779394,8.396176145774934,42.51115011743209,492241306026.6623,1.5869524133716957
Brazil,1992,212.5916194305369,8.529909852161994,46.324426408004214,504590978197.6775,0.54591213242438
Brazil,1993,216.1382774681676,8.114756431632237,43.81945018642116,534331202241.2948,0.7115811944158881
Brazil,1994,279.7246852128359,7.759493860652041,43.921446485352185,566263762104.4532,0.8693598709167526
Brazil,1995,255.92926921606977,8.164234438413612,48.42414568862043,557731242474.1056,0.19754586671199523
Brazil,1996,231.28642866079596,7.850524123687292,44.650515929852794,596345146262.1848,2.092659628232
Brazil,1997,256.43990316135137,8.150152493739602,46.720382348447785,616146098103.9855,1.1398715112336675
Brazil,1998,268.5668681425499,8.649320402078782,49.58779981600017,591132088309.1436,1.4912967971433624
Brazil,1999,282.8716114948732,7.954854455525527,58.195846277645586,637966102738.2983,1.7277789290583407
Brazil,2000,316.5449304129499,8.69482735042765,55.978999788110855,678567431201.6722,2.035935893548545
Brazil,2001,362.2998854531567,8.101349031773896,59.787375091519294,657597039764.3506,0.8491819860565375
Brazil,2002,302.12241349094654,8.402696083158247,54.40924224974763,665103546658.7418,1.7846136595834834
Brazil,2003,391.46531689264015,8.705461428454834,61.56857343847617,660633787140.0903,1.6309150528860734
Brazil,2004,427.14939387067915,7.99404465173409,59.584657285442724,729260194614.7021,0.3433250250027724
Brazil,2005,457.5382756970719,8.013558350286022,60.609823217156624,712740106801.817,0.7828849762561688
Brazil,2006,488.9449768565662,8.617557471355214,67.87212742576327,756990857197.0167,1.0916513428400936
Brazil,2007,455.87722367207004,8.571277197569495,68.20967179954562,774689271170.5758,1.1369707523652206
Brazil,2008,453.5207665356369,8.467541018358549,62.25419126744095,771750427862.4137,0.3265719966859394
Brazil,2009,531.7727688140286,8.578570691164703,72.57566473926093,770426944514.4916,0.6235136812126374
Brazil,2010,460.60627880169653,8.85555113854305,67.28798165491622,792830633842.8505,0.2616578106404653
Brazil,2011,524.4268280990894,8.938120379564417,72.83403756510424,850020358665.9197,1.9300672393942073
Brazil,2012,605.1008635678004,8.346570058886035,76.92558998489977,855204782382.6266,1.2326187080228665
Brazil,2013,605.6129262703474,8.617107788626257,77.68014765922493,822010521234.7941,1.9075342248383214
Brazil,2014,597.6861888714573,8.730747302577566,75.17411003148779,817597883225.6823,0.5664264019885336
Brazil,2015,629.7276038807881,8.573202932020756,77.68790621743366,913754599092.3455,1.5763398136798736
Brazil,2016,611.842648361464,9.25178208272096,83.62447294942112,877863034611.7572,0.6287428212332647
Brazil,2017,762.0835388401994,8.346886947354534,81.59564333979897,885528064741.1608,1.1556259487806093
Brazil,2018,833.7741195355483,8.618646464236612,86.08265885966654,878736045114.9989,0.6030799704006421
Brazil,2019,755.7569096734181,8.6120552715115,85.22135547405878,980408317459.3413,1.6994011921903072
